cluster_id,sample_tags,rating,failure_reason
1,AI Interviews | AI Job Search | AI Presenter Selection | AI Question Answering | AI Receptionist,Bad,"The tags represent distinct capabilities spanning recruitment, presenter selection, question answering, and receptionist services."
6,Text-to-Image | Image-to-Text Conversion | Profile Picture Cropping | Text-to-Image Portrait Generation,Good,
7,One-Click Deployment | One-Click Enhancements | One-Click Publishing | One-Click SEO Fixes,Mixed,"Deployment and publishing are related release capabilities, but enhancements and SEO fixes are functionally distinct."
8,Custom Vocabulary | Cursor Tracking | Face Tracking | Keyword Tracking | Speaking Time Tracking | Vocabulary Tracking,Bad,"The tags span unrelated capabilities including lexical customization, language monitoring, interaction tracking, face tracking, and speaking-time analysis."
22,Account Monitoring | Client Intelligence Management | Information Comparison | Information Monitoring | Information Organization | Metrics Monitoring | Public Information Scanning | Sender Reputation Monitoring | Usage Monitoring | Webpage Monitoring | Website Diagnostics,Mixed,"Most tags involve monitoring or diagnostics, but information comparison, organization, and client intelligence management are distinct capabilities."
23,AI Chat | AI Character Chat | Multi-Model Chat | AI Chat Creation | AI Chatbot Building | AI Conversation Automation | AI Customer Conversations | AI Meeting Chat | AI PDF Chat | Chat Analysis | Chat Import | Chat-Based Agent Testing | Chatbot Assistance | Chatbot Automation | Chatbot Customization | Conversational AI | Conversational AI Assistance | File-Based AI Chat | Large Language Model Chat | Multi-AI Chat | Multi-Model AI Chat,Good,
26,Content Generation | Presentation Generation | Article Generation | Content Brief Generation | Documentation Generation | FAQ Generation | Outline Generation | App Generation | Document Generation | Full-Stack App Generation | Landing Page Generation | Visual Content Generation | Banner Generation | Bulk Content Generation | Compliance Document Generation | Container Generation | Content Calendar Generation | Deck Generation | Document Flow Generation | Elementor Page Generation | File Generation | Long-Form Article Generation | Metadata Generation | Print Generation | Reference-Based Generation | Research Generation | Rubric Generation | Scheduled Content Generation | Spreadsheet Generation | Stem Generation | Table of Contents Generation | Teaching Material Generation | Theme Generation | Timestamp Generation | Web Application Generation | Widget Generation | Wikipedia-Style Article Generation | World Generation,Mixed,"Most tags involve textual or document content generation, but many instead concern app, web page, visual asset, file, spreadsheet, or world generation."
28,Noise Reduction | Voice Enhancement | Face Enhancement | Natural Language Enhancement | Noise Cancellation | Noise Removal | Room Echo Reduction | Sensory Language Enhancement | Tone Preservation,Mixed,"Most tags concern audio enhancement, but several instead involve facial or language enhancement."
35,Bestselling Product Discovery | Catalog Updates | Ecommerce Data Analysis | Product Data Analysis | Product Detail Preservation | Product Link Analysis | Product Research | Product Set Curation | Product Updates | Sales Data Prediction,Mixed,"Most tags involve product research and ecommerce analysis, while others concern catalog maintenance, product curation, or data preservation."
39,AI Agent Deployment | Agent Deployment | AI App Deployment | AI Model Deployment | Conversational Agent Deployment | Custom Agent Building | Specialist Agent Deployment | Voice Agent Deployment,Good,
