cluster_id,sample_tags,rating,failure_reason
3,Custom Code Integration | Plugin Access | Plugin Integration | Slack Integration,Good,
12,Case Study Personalization | Dynamic Personalization | Email Content Personalization | Learning Personalization | Response Personalization | Track Personalization,Good,
13,Readability Improvement | Alt Text Optimization | Natural Language Enhancement | Text Flow Improvement | Text Snippets | Text Utilities,Mixed,"Most tags concern improving textual quality, while Text Snippets and Text Utilities describe broader text functions."
15,PDF Export | Code Export | Content Export | Data Export | PPTX Export | SCORM Export | Spreadsheet Export | 3D Animation Export | 3D Model Export | AI Prompt Export | Asset Export | CMS Export | CSV Export | Document Export | Document Import and Export | DOCX Export | EXR Export | Flipbook Export | GIF Export | Google Docs Export | HTML/CSS/JS Export | Notion Export | PPT Export | Print-Ready Export | Run History Export | Table Export | Watermark-Free Export | Workflow Export | xAPI Export,Good,
16,Content Generation | Article Generation | Content Brief Generation | FAQ Generation | Bulk Content Generation | Container Generation | Content Idea Generation | Essay Generation | Long-Form Article Generation | Meeting Brief Generation | Personalized Itinerary Generation | Scheduled Content Generation | SEO Content Generation | Social Media Content Generation | Table of Contents Generation | Teaching Material Generation | Wikipedia-Style Article Generation | World Generation,Good,
22,Database Management | Custom Database Lookup | Database Connection | Database Creation | Database Generation | Database Querying | Database Setup | SQL Query Generation,Bad,"The tags split across database creation and setup, connection, querying, and SQL generation rather than one shared operation."
23,Image Editing | Image Extension | Photo Editing | Portrait Editing | Body Pose Editing | Image Composition Control | Image Inpainting | Image Organization | Image Remixing | Image Rendering | Image Replacement | Image-to-Image Editing | Local Image Editing | Manual Photo Editing | Mask Editing | Product Image Editing | Texture Control,Good,
35,Cloud Deployment | Instant Deployment | On-Premise Deployment | Self-Hosted Deployment | Self-Hosted Operation | SSL Deployment,Good,
40,Payment Processing | Stripe Payment Integration | Bill Capture | Bill Negotiation | Bill Payment | Billing Management | Client Billing | Credit-Based Processing | In-App Payments | Invoice Management | Payment Integration | Stripe Billing,Mixed,"The cluster mixes payment processing and integration with distinct billing, invoice management, bill capture, and bill negotiation functions."
44,Text Rewriting | Text Paraphrasing | Content Rewriting | AI Text Rewriting | Text Rephrasing | BLUF Rewrites | Character Insertion | Clause Revision | Expression Editing | Sentence Rewriting | Text Replacement,Good,
47,Template Customization | Template-Based Creation | Template-Based Design | Template-Based Development | Business Model Templates | Designer Template Creation | Legal Template Generation | Template Cloning | Template Selection | Template-Based Generation | Writing Templates,Mixed,"Most tags concern template-based creation or generation, but selection, cloning, customization, and template categories represent distinct capabilities."
